recommendation_year,hunt_code,species,permit_category,section_title,hunt_name,weapon,sex_type,access_class,permit_split_type,resident_permits_prior_raw,nonresident_permits_prior_raw,total_permits_prior_raw,resident_permits_raw,nonresident_permits_raw,total_permits_raw,resident_permits_prior,nonresident_permits_prior,total_permits_prior,resident_permits,nonresident_permits,total_permits,source_type,source_authority_level,source_file,source_page_number
2026,DB1053,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Mt Dutton,Muzzleloader,,Public,resident_nonresident,4,1,5,4,1,5,4,1,5,4,1,5,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1054,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Ogden,Muzzleloader,,Public,resident_nonresident,11,1,12,13,1,14,11,1,12,13,1,14,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1055,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Fishlake,Muzzleloader,,Public,resident_nonresident,5,1,6,6,1,7,5,1,6,6,1,7,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1058,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Any Legal Weapon,Any Legal Weapon,,Public,resident_nonresident,27,3,30,18,2,20,27,3,30,18,2,20,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1065,Deer,2026 RAC Workbook Permit Recommendations,Table 1,North Slope,Muzzleloader,,Public,resident_nonresident,13,2,15,14,2,16,13,2,15,14,2,16,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1073,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Archery,Archery,,Public,resident_nonresident,8,1,9,10,1,11,8,1,9,10,1,11,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1074,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Muzzleloader,Muzzleloader,,Public,resident_nonresident,8,1,9,10,1,11,8,1,9,10,1,11,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1077,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Box Elder,Muzzleloader,,Public,resident_nonresident,22,3,25,23,3,26,22,3,25,23,3,26,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1078,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Cache,Muzzleloader,,Public,resident_nonresident,9,1,10,11,1,12,9,1,10,11,1,12,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
2026,DB1079,Deer,2026 RAC Workbook Permit Recommendations,Table 1,Manti/San Rafael,Muzzleloader,,Public,resident_nonresident,38,4,42,40,5,45,38,4,42,40,5,45,2026-04-rac-packet_a_workbook,updated_current_permits,2026-04-rac-packet a.xlsx,
