hunt_code,residency,point_level,applicants,bonus_permits,random_permits,total_permits,success_ratio_text
DB1005,Resident,10,12,0,0,0,N/A
DB1005,Resident,9,21,0,0,0,N/A
DB1005,Resident,8,27,0,0,0,N/A
DB1005,Resident,7,9,0,0,0,N/A
DB1005,Resident,6,12,0,0,0,N/A
DB1005,Resident,5,8,0,0,0,N/A
DB1005,Resident,4,18,0,0,0,N/A
DB1005,Resident,3,8,0,0,0,N/A
DB1005,Resident,2,12,0,0,0,N/A
DB1005,Resident,1,14,0,0,0,N/A
DB1005,Resident,0,17,0,0,0,N/A
DB1006,Nonresident,32,0,0,0,0,N/A
DB1006,Nonresident,31,0,0,0,0,N/A
DB1006,Nonresident,30,0,0,0,0,N/A
DB1006,Nonresident,29,0,0,0,0,N/A
DB1006,Nonresident,28,0,0,0,0,N/A
DB1006,Nonresident,27,1,1,0,1,1 in 1.0
DB1006,Nonresident,26,3,1,0,1,1 in 3.0
DB1006,Nonresident,25,2,0,0,0,N/A
DB1006,Nonresident,24,5,0,0,0,N/A
DB1006,Nonresident,23,9,0,0,0,N/A
DB1006,Nonresident,22,5,0,0,0,N/A
DB1006,Nonresident,21,4,0,1,1,1 in 4.0
DB1006,Nonresident,20,9,0,0,0,N/A
DB1006,Nonresident,19,13,0,0,0,N/A
DB1006,Nonresident,18,8,0,0,0,N/A
DB1006,Nonresident,17,4,0,0,0,N/A
DB1006,Nonresident,16,35,0,0,0,N/A
DB1006,Nonresident,15,24,0,0,0,N/A
DB1006,Nonresident,14,18,0,0,0,N/A
DB1006,Nonresident,13,14,0,0,0,N/A
DB1006,Nonresident,12,14,0,0,0,N/A
DB1006,Nonresident,11,19,0,0,0,N/A
DB1006,Nonresident,10,22,0,0,0,N/A
DB1006,Nonresident,9,28,0,0,0,N/A
DB1006,Nonresident,8,31,0,0,0,N/A
DB1006,Nonresident,7,20,0,0,0,N/A
DB1006,Nonresident,6,20,0,0,0,N/A
DB1006,Nonresident,5,22,0,0,0,N/A
DB1006,Nonresident,4,16,0,0,0,N/A
DB1006,Nonresident,3,17,0,0,0,N/A
DB1006,Nonresident,2,10,0,0,0,N/A
DB1006,Nonresident,1,22,0,0,0,N/A
DB1006,Nonresident,0,11,0,0,0,N/A
DB1006,Resident,32,0,0,0,0,N/A
DB1006,Resident,31,0,0,0,0,N/A
DB1006,Resident,30,0,0,0,0,N/A
DB1006,Resident,29,0,0,0,0,N/A
DB1006,Resident,28,0,0,0,0,N/A
DB1006,Resident,27,0,0,0,0,N/A
DB1006,Resident,26,0,0,0,0,N/A
DB1006,Resident,25,0,0,0,0,N/A
DB1006,Resident,24,0,0,0,0,N/A
DB1006,Resident,23,4,3,0,3,1 in 1.3
DB1006,Resident,22,16,10,0,10,1 in 1.6
DB1006,Resident,21,12,0,0,0,N/A
DB1006,Resident,20,10,0,1,1,1 in 10.0
DB1006,Resident,19,12,0,0,0,N/A
DB1006,Resident,18,18,0,0,0,N/A
DB1006,Resident,17,14,0,0,0,N/A
DB1006,Resident,16,22,0,1,1,1 in 22.0
DB1006,Resident,15,34,0,0,0,N/A
DB1006,Resident,14,26,0,1,1,1 in 26.0
DB1006,Resident,13,26,0,0,0,N/A
DB1006,Resident,12,24,0,1,1,1 in 24.0
DB1006,Resident,11,30,0,1,1,1 in 30.0
DB1006,Resident,10,20,0,1,1,1 in 20.0
DB1006,Resident,9,28,0,2,2,1 in 14.0
DB1006,Resident,8,25,0,1,1,1 in 25.0
DB1006,Resident,7,31,0,2,2,1 in 15.5
DB1006,Resident,6,13,0,0,0,N/A
DB1006,Resident,5,33,0,1,1,1 in 33.0
DB1006,Resident,4,32,0,0,0,N/A
DB1006,Resident,3,29,0,0,0,N/A
DB1006,Resident,2,16,0,0,0,N/A
DB1006,Resident,1,24,0,0,0,N/A
DB1006,Resident,0,18,0,0,0,N/A
DB1007,Nonresident,32,0,0,0,0,N/A
DB1007,Nonresident,31,0,0,0,0,N/A
DB1007,Nonresident,30,0,0,0,0,N/A
DB1007,Nonresident,29,0,0,0,0,N/A
DB1007,Nonresident,28,0,0,0,0,N/A
DB1007,Nonresident,27,0,0,0,0,N/A
DB1007,Nonresident,26,0,0,0,0,N/A
DB1007,Nonresident,25,0,0,0,0,N/A
DB1007,Nonresident,24,0,0,0,0,N/A
DB1007,Nonresident,23,0,0,0,0,N/A
DB1007,Nonresident,22,0,0,0,0,N/A
DB1007,Nonresident,21,0,0,0,0,N/A
DB1007,Nonresident,20,0,0,0,0,N/A
